"Statistic Label","Month","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2005 October","South Dublin - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 October","National excluding Dublin - all residential properties","Base Jan 2005 = 100","109.3"
"Residential Property Price Index","2005 October","National excluding Dublin - houses","Base Jan 2005 = 100","109.7"
"Residential Property Price Index","2005 October","National excluding Dublin - apartments","Base Jan 2005 = 100","102.4"
"Residential Property Price Index","2005 October","Border excluding Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 October","Midland - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 October","West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 October","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 October","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 October","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 October","South-West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 November","National - all residential properties","Base Jan 2005 = 100","111.5"
"Residential Property Price Index","2005 November","National - houses","Base Jan 2005 = 100","112"
"Residential Property Price Index","2005 November","National - apartments","Base Jan 2005 = 100","106.5"
"Residential Property Price Index","2005 November","Dublin - all residential properties","Base Jan 2005 = 100","114.3"
"Residential Property Price Index","2005 November","Dublin - houses","Base Jan 2005 = 100","115.6"
"Residential Property Price Index","2005 November","Dublin - apartments","Base Jan 2005 = 100","109.6"
"Residential Property Price Index","2005 November","Dublin City - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 November","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 November","Fingal - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 November","South Dublin - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 November","National excluding Dublin - all residential properties","Base Jan 2005 = 100","110"
"Residential Property Price Index","2005 November","National excluding Dublin - houses","Base Jan 2005 = 100","110.4"
"Residential Property Price Index","2005 November","National excluding Dublin - apartments","Base Jan 2005 = 100","103.8"
"Residential Property Price Index","2005 November","Border excluding Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 November","Midland - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 November","West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 November","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 November","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 November","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 November","South-West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 December","National - all residential properties","Base Jan 2005 = 100","112.6"
"Residential Property Price Index","2005 December","National - houses","Base Jan 2005 = 100","113"
"Residential Property Price Index","2005 December","National - apartments","Base Jan 2005 = 100","108.4"
"Residential Property Price Index","2005 December","Dublin - all residential properties","Base Jan 2005 = 100","114.9"
"Residential Property Price Index","2005 December","Dublin - houses","Base Jan 2005 = 100","116"
"Residential Property Price Index","2005 December","Dublin - apartments","Base Jan 2005 = 100","111.2"
"Residential Property Price Index","2005 December","Dublin City - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 December","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 December","Fingal - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 December","South Dublin - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 December","National excluding Dublin - all residential properties","Base Jan 2005 = 100","111.4"
"Residential Property Price Index","2005 December","National excluding Dublin - houses","Base Jan 2005 = 100","111.7"
"Residential Property Price Index","2005 December","National excluding Dublin - apartments","Base Jan 2005 = 100","106.4"
"Residential Property Price Index","2005 December","Border excluding Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 December","Midland - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 December","West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 December","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 December","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 December","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 December","South-West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 January","National - all residential properties","Base Jan 2005 = 100","113.2"
"Residential Property Price Index","2006 January","National - houses","Base Jan 2005 = 100","113.7"
"Residential Property Price Index","2006 January","National - apartments","Base Jan 2005 = 100","109.3"
"Residential Property Price Index","2006 January","Dublin - all residential properties","Base Jan 2005 = 100","115.4"
"Residential Property Price Index","2006 January","Dublin - houses","Base Jan 2005 = 100","116.9"
"Residential Property Price Index","2006 January","Dublin - apartments","Base Jan 2005 = 100","111"
"Residential Property Price Index","2006 January","Dublin City - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 January","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 January","Fingal - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 January","South Dublin - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 January","National excluding Dublin - all residential properties","Base Jan 2005 = 100","111.9"
"Residential Property Price Index","2006 January","National excluding Dublin - houses","Base Jan 2005 = 100","112.2"
"Residential Property Price Index","2006 January","National excluding Dublin - apartments","Base Jan 2005 = 100","108"
"Residential Property Price Index","2006 January","Border excluding Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 January","Midland - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 January","West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 January","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 January","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 January","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 January","South-West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 February","National - all residential properties","Base Jan 2005 = 100","113.5"
"Residential Property Price Index","2006 February","National - houses","Base Jan 2005 = 100","114"
"Residential Property Price Index","2006 February","National - apartments","Base Jan 2005 = 100","110.2"
"Residential Property Price Index","2006 February","Dublin - all residential properties","Base Jan 2005 = 100","116.4"
"Residential Property Price Index","2006 February","Dublin - houses","Base Jan 2005 = 100","118.1"
"Residential Property Price Index","2006 February","Dublin - apartments","Base Jan 2005 = 100","111.6"
"Residential Property Price Index","2006 February","Dublin City - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 February","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 February","Fingal - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 February","South Dublin - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 February","National excluding Dublin - all residential properties","Base Jan 2005 = 100","111.8"
"Residential Property Price Index","2006 February","National excluding Dublin - houses","Base Jan 2005 = 100","112.2"
"Residential Property Price Index","2006 February","National excluding Dublin - apartments","Base Jan 2005 = 100","108"
"Residential Property Price Index","2006 February","Border excluding Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 February","Midland - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 February","West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 February","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 February","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 February","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 February","South-West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 March","National - all residential properties","Base Jan 2005 = 100","114.1"
"Residential Property Price Index","2006 March","National - houses","Base Jan 2005 = 100","114.7"
"Residential Property Price Index","2006 March","National - apartments","Base Jan 2005 = 100","110.9"
"Residential Property Price Index","2006 March","Dublin - all residential properties","Base Jan 2005 = 100","117.1"
"Residential Property Price Index","2006 March","Dublin - houses","Base Jan 2005 = 100","118.8"
"Residential Property Price Index","2006 March","Dublin - apartments","Base Jan 2005 = 100","112.1"
"Residential Property Price Index","2006 March","Dublin City - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 March","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 March","Fingal - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 March","South Dublin - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 March","National excluding Dublin - all residential properties","Base Jan 2005 = 100","112.4"
"Residential Property Price Index","2006 March","National excluding Dublin - houses","Base Jan 2005 = 100","112.8"
"Residential Property Price Index","2006 March","National excluding Dublin - apartments","Base Jan 2005 = 100","107.9"
"Residential Property Price Index","2006 March","Border excluding Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 March","Midland - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 March","West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 March","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 March","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 March","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 March","South-West - houses","Base Jan 2005 = 100",""
