"Statistic Label","Month","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2006 May","Dublin - houses","Base Jan 2005 = 100","124.2"
"Residential Property Price Index","2006 May","Dublin - apartments","Base Jan 2005 = 100","116.3"
"Residential Property Price Index","2006 May","Dublin City - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 May","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 May","Fingal - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 May","South Dublin - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 May","National excluding Dublin - all residential properties","Base Jan 2005 = 100","115.8"
"Residential Property Price Index","2006 May","National excluding Dublin - houses","Base Jan 2005 = 100","116.3"
"Residential Property Price Index","2006 May","National excluding Dublin - apartments","Base Jan 2005 = 100","109.5"
"Residential Property Price Index","2006 May","Border excluding Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 May","Midland - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 May","West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 May","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 May","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 May","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 May","South-West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 June","National - all residential properties","Base Jan 2005 = 100","120.3"
"Residential Property Price Index","2006 June","National - houses","Base Jan 2005 = 100","121.1"
"Residential Property Price Index","2006 June","National - apartments","Base Jan 2005 = 100","115.3"
"Residential Property Price Index","2006 June","Dublin - all residential properties","Base Jan 2005 = 100","125.5"
"Residential Property Price Index","2006 June","Dublin - houses","Base Jan 2005 = 100","127.8"
"Residential Property Price Index","2006 June","Dublin - apartments","Base Jan 2005 = 100","118"
"Residential Property Price Index","2006 June","Dublin City - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 June","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 June","Fingal - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 June","South Dublin - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 June","National excluding Dublin - all residential properties","Base Jan 2005 = 100","117.4"
"Residential Property Price Index","2006 June","National excluding Dublin - houses","Base Jan 2005 = 100","118"
"Residential Property Price Index","2006 June","National excluding Dublin - apartments","Base Jan 2005 = 100","110"
"Residential Property Price Index","2006 June","Border excluding Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 June","Midland - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 June","West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 June","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 June","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 June","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 June","South-West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 July","National - all residential properties","Base Jan 2005 = 100","123"
"Residential Property Price Index","2006 July","National - houses","Base Jan 2005 = 100","124"
"Residential Property Price Index","2006 July","National - apartments","Base Jan 2005 = 100","116.7"
"Residential Property Price Index","2006 July","Dublin - all residential properties","Base Jan 2005 = 100","129.5"
"Residential Property Price Index","2006 July","Dublin - houses","Base Jan 2005 = 100","132.7"
"Residential Property Price Index","2006 July","Dublin - apartments","Base Jan 2005 = 100","119.5"
"Residential Property Price Index","2006 July","Dublin City - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 July","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 July","Fingal - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 July","South Dublin - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 July","National excluding Dublin - all residential properties","Base Jan 2005 = 100","119.5"
"Residential Property Price Index","2006 July","National excluding Dublin - houses","Base Jan 2005 = 100","120.1"
"Residential Property Price Index","2006 July","National excluding Dublin - apartments","Base Jan 2005 = 100","111.4"
"Residential Property Price Index","2006 July","Border excluding Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 July","Midland - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 July","West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 July","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 July","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 July","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 July","South-West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 August","National - all residential properties","Base Jan 2005 = 100","125.8"
"Residential Property Price Index","2006 August","National - houses","Base Jan 2005 = 100","126.7"
"Residential Property Price Index","2006 August","National - apartments","Base Jan 2005 = 100","119"
"Residential Property Price Index","2006 August","Dublin - all residential properties","Base Jan 2005 = 100","133.3"
"Residential Property Price Index","2006 August","Dublin - houses","Base Jan 2005 = 100","136.6"
"Residential Property Price Index","2006 August","Dublin - apartments","Base Jan 2005 = 100","122.7"
"Residential Property Price Index","2006 August","Dublin City - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 August","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 August","Fingal - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 August","South Dublin - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 August","National excluding Dublin - all residential properties","Base Jan 2005 = 100","121.6"
"Residential Property Price Index","2006 August","National excluding Dublin - houses","Base Jan 2005 = 100","122.2"
"Residential Property Price Index","2006 August","National excluding Dublin - apartments","Base Jan 2005 = 100","112.7"
"Residential Property Price Index","2006 August","Border excluding Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 August","Midland - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 August","West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 August","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 August","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 August","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 August","South-West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 September","National - all residential properties","Base Jan 2005 = 100","126.8"
"Residential Property Price Index","2006 September","National - houses","Base Jan 2005 = 100","127.6"
"Residential Property Price Index","2006 September","National - apartments","Base Jan 2005 = 100","120.9"
"Residential Property Price Index","2006 September","Dublin - all residential properties","Base Jan 2005 = 100","133.5"
"Residential Property Price Index","2006 September","Dublin - houses","Base Jan 2005 = 100","136.3"
"Residential Property Price Index","2006 September","Dublin - apartments","Base Jan 2005 = 100","124.8"
"Residential Property Price Index","2006 September","Dublin City - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 September","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 September","Fingal - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 September","South Dublin - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 September","National excluding Dublin - all residential properties","Base Jan 2005 = 100","123.1"
"Residential Property Price Index","2006 September","National excluding Dublin - houses","Base Jan 2005 = 100","123.7"
"Residential Property Price Index","2006 September","National excluding Dublin - apartments","Base Jan 2005 = 100","114.7"
"Residential Property Price Index","2006 September","Border excluding Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 September","Midland - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 September","West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 September","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 September","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 September","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 September","South-West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2006 October","National - all residential properties","Base Jan 2005 = 100","127.6"
