Statistic Label,Quarter,Area,UNIT,VALUE
New House Prices,1995Q2,Limerick,Euro,73297
New House Prices,1995Q2,Waterford,Euro,67019
New House Prices,1995Q2,Other areas,Euro,68759
New House Prices,1995Q3,National,Euro,77208
New House Prices,1995Q3,Dublin,Euro,87096
New House Prices,1995Q3,Cork,Euro,75382
New House Prices,1995Q3,Galway,Euro,87679
New House Prices,1995Q3,Limerick,Euro,73391
New House Prices,1995Q3,Waterford,Euro,71449
New House Prices,1995Q3,Other areas,Euro,70892
New House Prices,1995Q4,National,Euro,80303
New House Prices,1995Q4,Dublin,Euro,88717
New House Prices,1995Q4,Cork,Euro,78740
New House Prices,1995Q4,Galway,Euro,89701
New House Prices,1995Q4,Limerick,Euro,74780
New House Prices,1995Q4,Waterford,Euro,71835
New House Prices,1995Q4,Other areas,Euro,73522
New House Prices,1996Q1,National,Euro,81571
New House Prices,1996Q1,Dublin,Euro,90951
New House Prices,1996Q1,Cork,Euro,81906
New House Prices,1996Q1,Galway,Euro,88265
New House Prices,1996Q1,Limerick,Euro,80619
New House Prices,1996Q1,Waterford,Euro,71715
New House Prices,1996Q1,Other areas,Euro,75740
